date_utc,source,url,title,summary,signal_type,primary_assets,secondary_assets,confidence,notes
2026-06-02T00:00:00Z,NVIDIA Blog,https://blogs.nvidia.com/blog/microsoft-build-windows-local-cloud-devices/,"NVIDIA Partners With Microsoft on Unified Stack for Agentic AI Deployment, From Windows Devices to Cloud to Local","NVIDIA and Microsoft expanded their Build 2026 partnership across RTX Spark, DGX Station for Windows, Foundry/Fabric integrations, OpenShell in GitHub Copilot, Azure Local and Fairwater AI factories.",customer/deployment,NVDA,MSFT | Azure | GB300 | Vera Rubin | RTX Spark | DGX Station | Windows OEMs | Spectrum-X | power and cooling,high,"Tier 1 Microsoft customer/deployment signal. Supply-chain overlay: downstream Azure/Fairwater demand, Grace Blackwell and Vera Rubin systems, Spectrum-X networking, power/cooling and MRC transport. Confirmation attempt: Microsoft GTC/Fairwater infrastructure posts and Windows Build RTX Spark/DGX Station posts corroborate the deployment and platform-readiness context."
2026-06-01T00:00:00Z,NVIDIA Blog,https://blogs.nvidia.com/blog/financial-institutions-transaction-foundation-models/,Why Financial Institutions Are Converging on Transaction Foundation Models to Build Their Own Intelligence,"NVIDIA framed transaction foundation models as a financial-services AI platform, citing Revolut, Mastercard, Adyen, Stripe, AWS, Nebius and services partners.",software/customer,NVDA,MA | ADYEY | Stripe | AWS | NBIS | financial services AI,medium,"Tier 2 enterprise-software/customer signal. Supply-chain overlay: mostly demand-side software pull-through rather than hardware capacity; confirmation attempt through named financial institutions, AWS/Nebius deployment routes and NVIDIA State of AI in Financial Services reference."
2026-06-01T00:00:00Z,NVIDIA Blog,https://blogs.nvidia.com/blog/jetson-agentic-ai-physical-world/,NVIDIA Jetson Brings Agentic AI to the Physical World,"NVIDIA announced JetPack 7.2 and NemoClaw support on Jetson, including CUDA 13 on Orin, MIG on Jetson Thor and partner deployments across robotics, industrial automation, drones and smart retail.",robotics/edge-ai,NVDA,Jetson Thor | Solomon | Advantech | Hexagon | Zipline | 1X | Universal Robots | industrial automation,high,"Tier 1 edge/physical-AI product signal. Supply-chain overlay: edge compute, sensors, robotics OEMs and industrial deployment partners; confirmation attempt through named Jetson users and the official GTC Taipei physical-AI release cluster."
2026-05-31T00:00:00Z,NVIDIA Blog,https://blogs.nvidia.com/blog/ai-cloud-ecosystem/,NVIDIA AI Cloud Ecosystem Expands Worldwide to Meet Global AI Compute Demand,"NVIDIA described a global AI Cloud ecosystem expansion spanning CoreWeave, Firmus, IREN, Nebius, Nscale, Lambda, YTL and other regional/sovereign AI cloud builders.",customer/capacity,NVDA,CRWV | IREN | NBIS | Nscale | Lambda | Crusoe | Vultr | YTL | AI cloud providers | power and cooling,high,"Tier 1 AI-cloud demand/capacity signal. Supply-chain overlay: downstream AI-cloud and sovereign-AI demand, DSX and liquid-cooling/power constraints, CoreWeave Spectrum-X Ethernet Photonics and Vera/Vera CPU adoption. Confirmation attempt: NVIDIA DSX item and official CoreWeave/Nebius/Firmus sections in the same blog support the supply-chain mapping."
2026-05-31T00:00:00Z,NVIDIA Blog,https://blogs.nvidia.com/blog/factory-operations-fox-blueprint-ai-brain/,NVIDIA Factory Operations Blueprint Gives Factories a New AI Brain,"NVIDIA announced the FOX factory operations blueprint for autonomous factory manager agents, optimized for DGX Station and early deployments at Foxconn, Pegatron, Advantech and Wistron.",industrial-ai/platform,NVDA,Foxconn | Pegatron | Advantech | Wistron | GB300 | DGX Station | industrial AI,high,"Tier 2 industrial-AI platform/customer signal. Supply-chain overlay: factory automation, edge/server inference, GB300 DGX Station and Taiwan manufacturing partners; confirmation attempt through named Foxconn/Pegatron/Advantech/Wistron deployments and DGX Station official product context."
2026-06-01T01:00:00Z,NVIDIA GTC,https://www.nvidia.com/gtc/keynote/?nvid=nv-int-bnr-839023,NVIDIA GTC 2026 Keynote,"Official replay page for Jensen Huang's GTC keynote covering AI factories, open models, agentic systems, physical AI, and robotics.",event,NVDA,AI infrastructure | robotics | physical AI,high,S-tier primary source; use as anchor for June 2026 Computex/GTC Taipei catalyst cluster.
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-foxconn-and-taiwan-medical-centers-bring-agentic-and-physical-ai-to-healthy-taiwan,"NVIDIA, Foxconn and Taiwan Medical Centers Bring Agentic and Physical AI to Healthy Taiwan","NVIDIA and Foxconn announced agentic and physical AI deployments across Taiwan medical centers, including CoDoctor agents and Nurabot robotics under a $1.5B Healthy Taiwan initiative.",customer/platform,NVDA,Foxconn | healthcare AI | robotics | sovereign AI,high,"Tier 2 customer/sovereign-AI confirmation. Supply-chain overlay: Foxconn as integrator, edge/robotics compute and hospital AI infrastructure demand; confirmation attempt through Foxconn Computex platform release."
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/vera-rubin-full-production-agentic-ai-factory,NVIDIA Vera Rubin Ramps Into Full Production to Power Agentic AI Factories Worldwide,"NVIDIA said Vera Rubin is ramping into full production as a POD-scale AI-factory platform spanning Vera Rubin NVL72, Vera CPU, BlueField-4 STX storage and Spectrum-6 SPX Ethernet racks.",capacity,NVDA,DELL | HPE | SMCI | LNVGY | Foxconn | QCT | Wistron | Wiwynn | HBM suppliers | power and cooling,high,"Tier 1 demand/capacity signal. Supply-chain overlay: upstream HBM/advanced packaging and TSMC ecosystem, midstream OEM/ODM partners, downstream AI clouds and enterprises, with power/cooling via liquid-cooled MGX and 800 VDC references. Confirmation attempts: Foxconn Computex release, Supermicro Vera Rubin IR release, and TrendForce HBM4 validation coverage."
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-unveils-vera-the-cpu-for-agents,"NVIDIA Unveils Vera, the CPU for Agents","NVIDIA announced Vera as a CPU for AI-agent workloads, with customers including NYSE, Anthropic, OpenAI, SpaceXAI, ByteDance, CoreWeave and OCI and systems from major OEMs/ODMs.",product,NVDA,ORCL | CRWV | DELL | HPE | SMCI | LNVGY | Foxconn | QCT | Wistron | Wiwynn,high,"Tier 1 product/customer signal. Supply-chain overlay: demand confirmed by labs/clouds, manufacturing confirmed by Dell/HPE/Lenovo/Supermicro and Taiwan ODM list; upstream memory/package capacity remains the gating risk."
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-launches-cosmos-3-the-open-frontier-foundation-model-for-physical-ai,"NVIDIA Launches Cosmos 3, the Open Frontier Foundation Model for Physical AI","NVIDIA launched Cosmos 3 open physical-AI foundation models for robotics, autonomous vehicles and vision AI, plus a Cosmos Coalition with model and robotics partners.",software/platform,NVDA,robotics | autonomous vehicles | LG Electronics | Samsung | CoreWeave | Microsoft Azure | Nebius,high,Tier 1 physical-AI platform signal. Supply-chain overlay: downstream robotics/AV/vision demand; confirmation attempt through NVIDIA GTC Taipei physical-AI releases and DRIVE/GR00T items in the same official source cluster.
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-alpamayo-2-super-robotaxis,NVIDIA Launches Alpamayo 2 Super Open Reasoning Model for Robotaxis,"NVIDIA introduced Alpamayo 2 Super, AlpaGym and OmniDreams for reasoning-based level 4 autonomous-vehicle development and closed-loop simulation.",autonomous vehicles,NVDA,autonomous vehicles | robotaxi stack | Omniverse,high,Tier 1 AV/physical-AI product signal. Supply-chain overlay: downstream AV developers and simulation workloads; confirmation attempt through DRIVE Hyperion ecosystem release.
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-drive-hyperion-becomes-the-global-platform-for-a-robotaxi-ready-world,NVIDIA DRIVE Hyperion Becomes the Global Platform for a Robotaxi-Ready World,"NVIDIA expanded DRIVE Hyperion level 4 robotaxi ecosystem with Foxconn, VinFast/Autobrains, Uber and HUMAIN deployments across Taiwan, Southeast Asia, Europe and the Middle East.",customer/platform,NVDA,UBER | Foxconn | VinFast | HUMAIN | autonomous vehicles,high,"Tier 2 customer/platform confirmation. Supply-chain overlay: in-vehicle compute, sensors, EV manufacturing and mobility-network demand; confirmation attempt through Foxconn Computex and Healthy Taiwan physical-AI partner releases."
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-dgx-station-for-windows-puts-a-trillion-parameter-ai-supercomputer-on-every-enterprise-desk,NVIDIA DGX Station for Windows Puts a Trillion-Parameter AI Supercomputer on Every Enterprise Desk,"NVIDIA announced DGX Station for Windows, built on the GB300 Grace Blackwell Ultra Desktop Superchip, to bring frontier AI-agent infrastructure into Windows enterprise workflows.",product/customer,NVDA,MSFT | GB300 ecosystem | ConnectX | enterprise workstations,high,"Tier 1 product/customer signal. Supply-chain overlay: GB300 desktop superchip demand, Windows enterprise channel, high-memory workstation component needs; confirmation attempt via official Microsoft/RTX Spark cluster and Computex trade coverage."
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-announces-nvidia-isaac-gr00t-reference-humanoid-robot-for-academic-research,NVIDIA Announces NVIDIA Isaac GR00T Reference Humanoid Robot for Academic Research,"NVIDIA announced an open humanoid robot reference design using Jetson Thor, Isaac GR00T software and a Unitree H2 Plus platform for research institutions.",robotics,NVDA,Jetson Thor | Unitree | robotics research | physical AI,high,"Tier 1 physical-AI product signal. Supply-chain overlay: edge compute and robot component demand, downstream research/developer adoption; confirmation attempt through Cosmos 3 and Foxconn healthcare/robotics official items."
2026-06-01T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/enterprise-software-leaders-build-ai-agents-with-nvidia,Enterprise Software Leaders Build AI Agents With NVIDIA,"NVIDIA announced Agent Toolkit/NemoClaw, Nemotron 3 Ultra, OpenShell and CUDA-X agent skills with adoption by design, simulation, cybersecurity and enterprise-software partners.",software/customer,NVDA,CDNS | DSY | SIEGY | SNPS | CRWD | PLTR | MSFT | SAP | NOW | RHT,high,Tier 2 downstream software/customer confirmation. Supply-chain overlay: strengthens enterprise agent demand rather than hardware capacity; confirmation attempt through named CAD/security/software partners and DGX/RTX local-agent hardware cluster.
2026-06-01T00:00:00Z,NVIDIA Blog,https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/,NVIDIA GTC Taipei at COMPUTEX Live Updates on What Is Next in AI,"NVIDIA's GTC Taipei live blog highlighted Vera Rubin full production, 800 VDC/MGX power architecture, liquid-cooled rack design, Spectrum-X Ethernet Photonics production, Taiwan supply-chain scale, and Jensen's H2 2026 roadmap hint around Grace Blackwell, Vera Rubin and an undisclosed surprise product.",supply-chain/product-roadmap,NVDA,AI factory suppliers | power and cooling | networking | Taiwan ODMs | TSMC | Quanta/QCT,high,"Mandatory supply-chain overlay source. Confirms upstream-to-downstream AI factory stack, 150 Taiwan partners, 350+ factories and 30 countries, plus power/cooling constraints via MGX/800 VDC/liquid cooling. Also records Jensen quote that H2 2026 will be busy with Grace Blackwell, Vera Rubin and an undisclosed surprise product; Chinese/Taiwan reports confirm the capacity-expansion context around Quanta/QCT and TSMC."
2026-05-31T00:00:00Z,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/nvidia-microsoft-windows-pcs-agents-rtx-spark,NVIDIA and Microsoft Reinvent Windows PCs for the Age of Personal AI,"NVIDIA and Microsoft announced RTX Spark Windows PCs for personal AI agents, with Jensen Huang framing RTX Spark as the new personal AI computer.",product,NVDA,MSFT | ARM | DELL | HPQ | MediaTek | Windows PC OEMs,high,Primary-source product/customer signal; market read is NVDA AI-PC narrative plus Windows/OEM ecosystem attention.
